start_date,start_hour,start_minute,end_date,end_hour,end_minute,month,year,CATEGORY,START,STOP,MILES,PURPOSE,duration,speed,day,day_time
01-01-2016,21,11,01-01-2016,21,17,Jan,2016,Business,Fort Pierce,Fort Pierce,8.207633999999999,Meal/Entertain,6,82.07633999999999,Friday,Evening
02-01-2016,1,25,02-01-2016,1,37,Jan,2016,Business,Fort Pierce,Fort Pierce,8.0467,Meal/Entertain,12,40.23349999999999,Saturday,Night
02-01-2016,20,25,02-01-2016,20,38,Jan,2016,Business,Fort Pierce,Fort Pierce,7.724831999999999,Errand/Supplies,13,35.653070769230766,Saturday,Evening
05-01-2016,17,31,05-01-2016,17,45,Jan,2016,Business,Fort Pierce,Fort Pierce,7.563898,Meeting,14,32.41670571428571,Tuesday,Afternoon
06-01-2016,14,42,06-01-2016,15,49,Jan,2016,Business,Fort Pierce,West Palm Beach,102.51495800000001,Customer Visit,67,91.80444,Wednesday,Afternoon
06-01-2016,17,15,06-01-2016,17,19,Jan,2016,Business,West Palm Beach,West Palm Beach,6.9201619999999995,Meal/Entertain,4,103.80242999999999,Wednesday,Afternoon
06-01-2016,17,30,06-01-2016,17,35,Jan,2016,Business,West Palm Beach,Palm Beach,11.426314,Meeting,5,137.115768,Wednesday,Afternoon
07-01-2016,13,27,07-01-2016,13,33,Jan,2016,Business,Cary,Cary,1.2874720000000002,Meeting,6,12.874720000000002,Thursday,Afternoon
10-01-2016,8,5,10-01-2016,8,25,Jan,2016,Business,Cary,Morrisville,13.357522000000001,Meeting,20,40.07256600000001,Sunday,Morning
10-01-2016,12,17,10-01-2016,12,44,Jan,2016,Business,Jamaica,New York,26.55411,Customer Visit,27,59.00913333333334,Sunday,Morning
10-01-2016,15,8,10-01-2016,15,51,Jan,2016,Business,New York,Queens,17.380872,Meeting,43,24.252379534883723,Sunday,Afternoon
10-01-2016,18,18,10-01-2016,18,53,Jan,2016,Business,Elmhurst,New York,12.07005,Meeting,35,20.691514285714284,Sunday,Afternoon
10-01-2016,19,12,10-01-2016,19,32,Jan,2016,Business,Midtown,East Harlem,9.977908000000001,Meeting,20,29.933724000000005,Sunday,Evening
11-01-2016,8,55,11-01-2016,9,21,Jan,2016,Business,East Harlem,NoMad,10.299776000000001,Temporary Site,26,23.768713846153847,Monday,Morning
11-01-2016,11,56,11-01-2016,12,3,Jan,2016,Business,Flatiron District,Midtown,2.5749440000000003,Errand/Supplies,7,22.070948571428573,Monday,Morning
11-01-2016,13,32,11-01-2016,13,46,Jan,2016,Business,Midtown,Midtown East,2.735878,Meal/Entertain,14,11.725191428571428,Monday,Afternoon
11-01-2016,14,30,11-01-2016,14,43,Jan,2016,Business,Midtown East,Midtown,3.057746,Meal/Entertain,13,14.112673846153845,Monday,Afternoon
12-01-2016,12,33,12-01-2016,12,49,Jan,2016,Business,Midtown,Hudson Square,3.057746,Meal/Entertain,16,11.466547499999999,Tuesday,Morning
12-01-2016,12,53,12-01-2016,13,9,Jan,2016,Business,Hudson Square,Lower Manhattan,6.43736,Meal/Entertain,16,24.1401,Tuesday,Morning
12-01-2016,14,42,12-01-2016,14,56,Jan,2016,Business,Lower Manhattan,Hudson Square,2.896812,Errand/Supplies,14,12.414908571428573,Tuesday,Afternoon
12-01-2016,15,13,12-01-2016,15,28,Jan,2016,Business,Hudson Square,Hell's Kitchen,3.8624159999999996,Customer Visit,15,15.449663999999999,Tuesday,Afternoon
12-01-2016,15,42,12-01-2016,15,54,Jan,2016,Business,Hell's Kitchen,Midtown,3.21868,Errand/Supplies,12,16.0934,Tuesday,Afternoon
12-01-2016,16,2,12-01-2016,17,0,Jan,2016,Business,New York,Queens County,24.301033999999998,Meeting,58,25.13900068965517,Tuesday,Afternoon
13-01-2016,13,54,13-01-2016,14,7,Jan,2016,Business,Downtown,Gulfton,18.024607999999997,Meeting,13,83.19049846153844,Wednesday,Afternoon
13-01-2016,15,0,13-01-2016,15,28,Jan,2016,Business,Gulfton,Downtown,18.990212,Meeting,28,40.69331142857143,Wednesday,Afternoon
14-01-2016,16,29,14-01-2016,17,5,Jan,2016,Business,Houston,Houston,35.244546,Customer Visit,36,58.74091,Thursday,Afternoon
14-01-2016,21,39,14-01-2016,21,45,Jan,2016,Business,Eagan Park,Jamestown Court,6.276426,Errand/Supplies,6,62.76425999999999,Thursday,Evening
15-01-2016,0,41,15-01-2016,1,1,Jan,2016,Business,Morrisville,Cary,12.87472,Errand/Supplies,20,38.62416,Friday,Night
15-01-2016,11,43,15-01-2016,12,3,Jan,2016,Business,Cary,Durham,16.737136,Meal/Entertain,20,50.211408,Friday,Morning
15-01-2016,13,26,15-01-2016,13,44,Jan,2016,Business,Durham,Cary,16.737136,Meal/Entertain,18,55.79045333333333,Friday,Afternoon
18-01-2016,14,55,18-01-2016,15,6,Jan,2016,Business,Cary,Cary,7.724831999999999,Meal/Entertain,11,42.13544727272727,Monday,Afternoon
18-01-2016,16,13,18-01-2016,16,24,Jan,2016,Business,Farmington Woods,Whitebridge,7.563898,Meal/Entertain,11,41.257625454545455,Monday,Afternoon
19-01-2016,9,9,19-01-2016,9,23,Jan,2016,Business,Whitebridge,Lake Wellingborough,11.587248,Meal/Entertain,14,49.65963428571429,Tuesday,Morning
19-01-2016,10,55,19-01-2016,11,9,Jan,2016,Business,Lake Wellingborough,Whitebridge,12.230984,Temporary Site,14,52.418502857142855,Tuesday,Morning
20-01-2016,10,36,20-01-2016,11,11,Jan,2016,Business,Cary,Raleigh,27.519714,Meeting,35,47.17665257142857,Wednesday,Morning
20-01-2016,11,48,20-01-2016,12,19,Jan,2016,Business,Fayetteville Street,Umstead,24.301033999999998,Meeting,31,47.0342593548387,Wednesday,Morning
20-01-2016,13,25,20-01-2016,14,19,Jan,2016,Business,Raleigh,Cary,64.695468,Customer Visit,54,71.88385333333333,Wednesday,Afternoon
21-01-2016,14,25,21-01-2016,14,29,Jan,2016,Business,Cary,Cary,2.5749440000000003,Errand/Supplies,4,38.62416,Thursday,Afternoon
21-01-2016,14,43,21-01-2016,14,51,Jan,2016,Business,Cary,Cary,3.8624159999999996,Meal/Entertain,8,28.96812,Thursday,Afternoon
21-01-2016,16,1,21-01-2016,16,6,Jan,2016,Business,Cary,Cary,1.60934,Meal/Entertain,5,19.31208,Thursday,Afternoon
26-01-2016,10,41,26-01-2016,10,50,Jan,2016,Business,Whitebridge,Hazelwood,3.21868,Meal/Entertain,9,21.457866666666668,Tuesday,Morning
26-01-2016,12,33,26-01-2016,12,41,Jan,2016,Business,Hazelwood,Whitebridge,3.7014819999999995,Errand/Supplies,8,27.761114999999997,Tuesday,Morning
26-01-2016,16,24,26-01-2016,16,32,Jan,2016,Business,Whitebridge,Westpark Place,3.057746,Errand/Supplies,8,22.933094999999998,Tuesday,Afternoon
26-01-2016,17,17,26-01-2016,17,22,Jan,2016,Business,Cary,Cary,2.2530759999999996,Errand/Supplies,5,27.036911999999997,Tuesday,Afternoon
26-01-2016,17,27,26-01-2016,17,29,Jan,2016,Business,Cary,Cary,0.80467,Errand/Supplies,2,24.1401,Tuesday,Afternoon
27-01-2016,9,24,27-01-2016,9,31,Jan,2016,Business,Cary,Cary,2.896812,Meeting,7,24.829817142857145,Wednesday,Morning
27-01-2016,10,19,27-01-2016,10,48,Jan,2016,Business,Cary,Raleigh,30.094658,Customer Visit,29,62.264809655172414,Wednesday,Morning
27-01-2016,12,34,27-01-2016,12,44,Jan,2016,Business,Fairmont,Meredith Townes,5.471756,Customer Visit,10,32.830536,Wednesday,Morning
27-01-2016,14,5,27-01-2016,14,13,Jan,2016,Business,Raleigh,Raleigh,4.345218,Customer Visit,8,32.589135,Wednesday,Afternoon
27-01-2016,14,46,27-01-2016,15,8,Jan,2016,Business,Raleigh,Cary,20.760486,Customer Visit,22,56.619507272727276,Wednesday,Afternoon
28-01-2016,12,28,28-01-2016,13,0,Jan,2016,Business,Cary,Raleigh,30.57746,Temporary Site,32,57.3327375,Thursday,Morning
28-01-2016,15,11,28-01-2016,15,31,Jan,2016,Business,Meredith Townes,Leesville Hollow,23.657297999999997,Meeting,20,70.97189399999999,Thursday,Afternoon
28-01-2016,16,21,28-01-2016,16,51,Jan,2016,Business,Raleigh,Cary,25.266638,Meeting,30,50.533276,Thursday,Afternoon
29-01-2016,9,31,29-01-2016,9,45,Jan,2016,Business,Cary,Cary,7.402963999999999,Customer Visit,14,31.726988571428567,Friday,Morning
29-01-2016,10,56,29-01-2016,11,7,Jan,2016,Business,Cary,Cary,8.368568,Meeting,11,45.64673454545455,Friday,Morning
29-01-2016,11,43,29-01-2016,12,3,Jan,2016,Business,Cary,Durham,16.737136,Meeting,20,50.211408,Friday,Morning
29-01-2016,13,24,29-01-2016,13,47,Jan,2016,Business,Durham,Cary,16.254334,Meeting,23,42.40261043478261,Friday,Afternoon
29-01-2016,18,31,29-01-2016,18,52,Jan,2016,Business,Cary,Apex,9.334171999999999,Errand/Supplies,21,26.669062857142855,Friday,Afternoon
29-01-2016,21,21,29-01-2016,21,40,Jan,2016,Business,Apex,Cary,8.85137,Meal/Entertain,19,27.951694736842104,Friday,Evening
30-01-2016,16,21,30-01-2016,16,33,Jan,2016,Business,Cary,Apex,9.173238,Errand/Supplies,12,45.866189999999996,Saturday,Afternoon
30-01-2016,18,9,30-01-2016,18,24,Jan,2016,Business,Apex,Cary,9.173238,Customer Visit,15,36.692952,Saturday,Afternoon
01-02-2016,10,35,01-02-2016,11,15,Feb,2016,Business,Cary,Chapel Hill,31.221196,Customer Visit,40,46.831794,Monday,Morning
